,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Ushuaia,75.0,AR,1587101552.0,71.0,-54.8,-68.3,285.15,9.8
1,Rikitea,3.0,PF,1587101490.0,75.0,-23.12,-134.97,297.78,4.35
2,Upernavik,100.0,GL,1587101556.0,92.0,72.79,-56.15,269.24,4.9
3,Cidreira,19.0,BR,1587101573.0,80.0,-30.18,-50.21,290.92,4.83
4,Atuona,75.0,PF,1587101651.0,76.0,-9.8,-139.03,301.3,6.07
5,Tecolutla,76.0,MX,1587101651.0,90.0,20.48,-97.02,296.65,1.6
6,Sestri Levante,20.0,IT,1587101651.0,57.0,44.27,9.4,284.82,1.0
7,Tsagan Aman,49.0,RU,1587101651.0,54.0,47.56,46.72,284.06,11.67
